Astar
Name, NoPF , TriageBase , TriageDeg4 , TriangelBase, TriangelBloom
Time,  0.15218 ,  0.16472 ,  0.16637 ,  0.15561 ,  0.16007
Speedup,  1.00000 , .92387 ,  .91470 ,  .97795 ,  .95070
Samples,  20 ,  20 ,  20 ,  20 ,  20
DRAM Reads,  250181184 ,  437882688 ,  558297216 ,  297761408 ,  312833728
DRAM Writes,  102124992 , 104371072 ,  104456192 ,  100529280 ,  102799936
DRAM Ratio,  1.00000 ,  1.53915 ,  1.88118 ,  1.13052 ,  1.17975
L3 Accesses,  5587239 ,  8095172 ,  10720421 ,  5948005 ,  5913589
Metas,  0 , 11674231 ,  25887501 ,  3432766 ,  2851372
L3 ratio,  1.00000 ,  3.53831 ,  6.55205 ,  1.67896 ,  1.56874
L3 Energy,  .03901 ,  .13804 ,  .25562 ,  .06550 ,  .06120
DRAM Energy,  .96098 , 1.47910 ,  1.80779 ,  1.08641 ,  1.13372
Total Energy,  .99999 ,  1.61714 ,  2.06341 ,  1.15191 ,  1.19492
PF Used,  ,  685517 ,  2301966 ,  789423 ,  710475
PF Unused,  , 2219105 ,  4542096 ,  301510 ,  306467
PF Accuracy,  ,  .23600 ,  .33634 ,  .72362 ,  .69863
PF Missed,  2328985 ,  2131953 ,  2120463 ,  2074819 ,  2044774
PF Coverage,  ,  .08460 ,  .08954 ,  .10914 ,  .12204
Lookup Accuracy,  ,  .71086 ,  .86090
GCC_166
Name, NoPF , TriageBase , TriageDeg4 , TriangelBase, TriangelBloom
Time,  0.26518 ,  0.19442 ,  0.16950 ,  0.12164 ,  0.13196
Speedup,  1.00000 , 1.36395 ,  1.56448 ,  2.18003 ,  2.00954
Samples,  20 ,  20 ,  20 ,  20 ,  20
DRAM Reads,  244905472 ,  264517888 ,  280527040 ,  265553024 ,  271658176
DRAM Writes,  47503360 , 48796096 ,  49056320 ,  48064384 ,  48979776
DRAM Ratio,  1.00000 ,  1.07149 ,  1.12713 ,  1.07253 ,  1.09653
L3 Accesses,  4590604 ,  4770658 ,  5092666 ,  4783245 ,  4837620
Metas,  0 , 8896954 ,  17563153 ,  6310436 ,  6842691
L3 ratio,  1.00000 ,  2.97730 ,  4.93525 ,  2.41660 ,  2.54439
L3 Energy,  .03863 ,  .11503 ,  .19068 ,  .09337 ,  .09830
DRAM Energy,  .96136 , 1.03009 ,  1.08358 ,  1.03109 ,  1.05417
Total Energy,  .99999 ,  1.14512 ,  1.27426 ,  1.12446 ,  1.15247
PF Used,  ,  1501581 ,  4793129 ,  4350265 ,  4056175
PF Unused,  , 246691 ,  525015 ,  317871 ,  320116
PF Accuracy,  ,  .85889 ,  .90127 ,  .93190 ,  .92685
PF Missed,  3235015 ,  2280169 ,  1747636 ,  1135234 ,  1227296
PF Coverage,  ,  .29516 ,  .45978 ,  .64908 ,  .62063
Lookup Accuracy,  ,  .96927 ,  .96766
MCF
Name, NoPF , TriageBase , TriageDeg4 , TriangelBase, TriangelBloom
